respid,countrycode,q13_1,q13_2,q13_3,q13_4,q13_5,q13_6,q13_7,q13_8,q13_9
41861,1208,5,2,1,2,4,6,0,96,96
41936,1208,1,8,7,5,0,0,8,96,96
42039,1208,4,7,7,5,3,1,6,96,96
42073,1208,4,10,9,3,1,0,5,96,96
42100,1208,1,1,8,2,1,8,2,96,96
42123,1208,10,0,0,2,10,0,7,96,96
42252,1208,5,7,7,7,2,0,8,96,96
42278,1208,8,5,4,5,6,5,4,96,96
42324,1208,10,10,10,10,10,10,10,96,96
42391,1208,3,5,3,4,2,0,7,96,96
42408,1208,5,7,9,6,2,1,8,96,96
